ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
HWMWTCA6A,SEN002146,Y,Infrastructure,Manhattan & Citywide,"RECONSTRUCTION OF BROADWAY, ETC (SEN002146)","Street reconstruction, water main replacement and sewer rehabilitation on the following streets:
Broadway from Ann St. to Cortlandt St. (ADD as per 8/19/10 LMBCO's letter)
Broadway from Cortlandt St. to Rector St.

DELETED LOCATIONS:
Broadway from Beaver St. to Stone St. (DELETE as per 11/29/10 LMBCO's email)
Broadway from Morris St. to Battery Pl. (sewer work only) (DELETE as per 11/29/10 LMBCO's email)
John St. from Broadway to William St. (DELETE as per 3/18/04 Lower Manhattan Executive Meeting)
Morris St. from West St. to Washington St. (DELETE as per 6/9/03 memo)
Morris St. from Greenwich St. to Broadway (DELETE as per 6/9/03 memo)","Reconstruct roadway; replace water main; rehabilitate sewers: sections of Broadway and adjoining streets south of Fulton.





















",,,Trans. & Env. Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HWMWTCA7B,HWMWTCA7B,Y,Infrastructure,MANHATTAN & CITYWIDE,"RECONSTRUCTION OF BROADWAY, PHASE II (SEN002161)",Street Reconstruction of Broadway from Leonard St. to Cortlandt St. and Leonard Street from Church Street to Broadway.,Street Reconstruction of Broadway from Leonard St. to Cortlandt St. and Leonard Street from Church Street to Broadway.,Manhattan,,Transportation,On-Hold,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWMWTCA7B,SEN002161,Y,Infrastructure,MANHATTAN & CITYWIDE,"RECONSTRUCTION OF BROADWAY, PHASE II (SEN002161)",Street Reconstruction of Broadway from Leonard St. to Cortlandt St. and Leonard Street from Church Street to Broadway.,Street Reconstruction of Broadway from Leonard St. to Cortlandt St. and Leonard Street from Church Street to Broadway.,Manhattan,,Transportation,On-Hold,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,,,DDC
HWMWTCA7E,HWMWTCA7E,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF WORTH STREET (SEN002152),"Reconstruction of Worth Street from Hudson Street to Park Row in Manhattan, including roadways, sidewalks,  curbs, sewers and watermain work.","Reconstruction of Worth Street from Hudson Street to Park Row, Borough of Manhattan",Manhattan,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,2016,,DDC
HWMWTCA7E,SEN002152,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF WORTH STREET (SEN002152),"Reconstruction of Worth Street from Hudson Street to Park Row in Manhattan, including roadways, sidewalks,  curbs, sewers and watermain work.","Reconstruction of Worth Street from Hudson Street to Park Row, Borough of Manhattan",Manhattan,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,2016,,DDC
HWMWTCA7F,HWMWTCA7F,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF WARREN & JOHN STS. (SEN002156),Street Reconstruction of Warren St. from West St. to Broadway and John St. from Broadway to William St.,Street Reconstruction of Warren St. from West St. to Broadway and John St. from Broadway to William St.,Manhattan,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,2017,,DDC
HWMWTCA7F,SEN002156,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF WARREN & JOHN STS. (SEN002156),Street Reconstruction of Warren St. from West St. to Broadway and John St. from Broadway to William St.,Street Reconstruction of Warren St. from West St. to Broadway and John St. from Broadway to William St.,Manhattan,,Transportation,Construction 0-25%,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,TRUE,,,2017,,DDC
HWMWTCA7G,HWMWTCA7G,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF JOHN STREET (SEN002162),"Street reconstruction of John Street from Broadway to William Street, including sewer reconstruction.","Street reconstruction of John Street from Broadway to William Street, including sewer reconstruction",,,Transportation,Cancelled Project,Street Reconstruction,Standard,In-House,DDC Managed,PIMS,FALSE,,,,,
HWMWTCA7G,SEN002162,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF JOHN STREET (SEN002162),"Street reconstruction of John Street from Broadway to William Street, including sewer reconstruction.","Street reconstruction of John Street from Broadway to William Street, including sewer reconstruction",,,Transportation,Cancelled Project,Street Reconstruction,Standard,In-House,DDC Managed,PIMS,FALSE,,,,,
HWMWTCA9,HWMWTCA9,Y,Infrastructure,MANHATTAN & CITYWIDE,"RECONSTRUCTION OF DOVER and SOUTH ST., MANHATTAN","Reconstruction of Dover Street from Pearl Street to South Street, and South Street from Dover Street to Fulton Street.","Reconstruction of Dover Street from Pearl Street to South Street, and South Street from Dover Street to Fulton Street.",,,Transportation,On-Hold,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HWMWTCB1,HWMWTCB1,Y,Infrastructure,MANHATTAN & CITYWIDE,NASSAU STRET RECONSTRUCTION,"The proposed project will reconstruct 3 blocks of Nassau Street, from Pine St to Maiden Ln. Vaults will be reinforced and filled. The sidewalks and curbs will be upgraded to the Lower Manhattan standards of 6"" wide granite curbs and dark pigmented concrete sidewalks. Street lights, signals and curb ramps will be upgraded. This project is part of the WTC Emergency Relief fund from FHWA to reconstruct resources damaged during the events 9/11.

The following work will be included:
Sidewalks and curbs; Roadway; Vaults; Pedestrian Ramps; Street Lights; Street Signals; Tree Planting; Street Markings; Wayfinding Considerations","Reconstruction of Nassau Street from Pine Street to Maiden Lane, Manhattan",Manhattan,,Transportation,Pre-Design/PrgDevelopment,Street Reconstruction,Critical,Requirements TO,,PIMS,FALSE,,2018,2020,,DDC
HWMWTCB2,HWMWTCB2,Y,Infrastructure,MANHATTAN & CITYWIDE,GREENWICH STREET RECONSTRUCTION,"The proposed project will reconstruct 4 blocks of Greenwich St, from Barclay St to Chambers St. Any vaults encountered will be reinforced and filled. South of Murray St, the sidewalks and curbs will be upgraded to the Lower Manhattan standards of 6"" wide granite curbs and dark pigmented concrete sidewalks. North of Murray St. the typical city standards will be used. Street lights, signals, and curb ramps will be upgraded. This project is part of the WTC Emergency Relief fund from FHWA to reconstruct resources damaged during 9/11.

The scope includes the following:
Roadway work; sidewalks and curbs; vaults; pedestrian ramps; street lights and signals; street tree plantings; greenstreet;  street markings and wayfinding considerations","RECONSTRUCTION OF GREENWICH STREET FROM BARCLAY STREET TO CHAMBERS STREET, MANHATTAN",Manhattan,,Transportation,Pre-Design/PrgDevelopment,Street Reconstruction,Critical,Requirements TO,,PIMS,FALSE,,2018,2020,,DDC
HWMWTCB5A,HWMWTCB5A,Y,Infrastructure,MANHATTAN & CITYWIDE,LIBERTY STREET WEST RECONSTRUCTION,"THIS PROJECT WILL RECONSTRUCT ONE BLOCK OF LIBERTY STREET BETWEEN GREENWICH STREET AND CHURCH STREET. THE INTERSECTION OF LIBERTY STREET WITH CHURCH STREET WILL BE RESURFACED.  THE SOUTHERN SIDEWALK AND CURB LINE WILL BE RECONSTRUCTED TO MEET GRADES AND ADA ACCESSIBILITY STANDARDS.  THE NEW SIDEWALK WILL MEET LOWER MANHATTAN STANDARDS OF GRANITE CURBING AND DARK PIGMENTED CONCRETE.  SECURITY DEVICES WILL BE INSTALLED BY THE PORT AUTHORITY OF NY/NJ ON THE WESTERN END OF THE BLOCK, AND ARE OUTSIDE OF THE SCOPE OF THIS PROJECT.",Reconstruction of Liberty Street between Greenwich Street and Church Street,,,Transportation,Design Development,Street Reconstruction,Critical,In-House,,PIMS,FALSE,,,,2017-11-01 13:00:20.3100000 +00:00,
HWMWTCB6,HWMWTCB6 ,Y,Infrastructure,MANHATTAN & CITYWIDE,VESEY STREET RECONSTRUCTION,"The proposed scope will reconstruct one block of Vesey St from Church to Broadway. Vaults will be reinforced and back-filled. The sidewalks and curbs will be upgraded to the Lower Manhattan standards of 6"" wide granite curbs and dark pigmented concrete sidewalks. Street lights, signals, and curb ramps will be upgraded where necessary. This project is part of the WTC Emergency Relief fund from FHWA (80/20) to reconstruct resources damaged during the events of 9/11.","Reconstruction of Vesey Street from Church Street to Broadway, Borough of Manhattan",,,Transportation,,,,,,PIMS,FALSE,,,,2017-10-12 13:00:19.2200000 +00:00,
HWMWTCB7,HWMWTCB7 ,Y,Infrastructure,MANHATTAN & CITYWIDE,RECONSTRUCTION OF TRINITY PL,"The proposed scope will reconstruct 4 blocks of Trinity Place, from Morris St to Cedar St. Any vaults encountered will be reinforced and filled. The sidewalks and curbs will be upgraded to the Lower Manhattan standards of 6"" wide granite curbs and dark pigmented concrete sidewalks. Street lights, signals and curb ramps will be upgraded to modern safety standards where necessary. This project is part of the WTC Emergency Relief fund from FHWA to reconstruct resources damaged during the events of 9/11.","Reconstruction of Trinity Place from Morris Street to Cedar Street, Borough of Manhattan",,,Transportation,,,,,,PIMS,FALSE,,,,2017-10-12 13:00:20.4730000 +00:00,
HWP14MLM,HWP14MLM,Y,Infrastructure,MANHATTAN & CITYWIDE,COMPLEX PED RAMPS (LANDMARK) - MANHATTAN,"Design of complex pedestrian ramps adjacent to historic and/or landmark facilities within the borough of Manhattan. 
Locations of the pedestrian ramps will be provided by the NYCDOT Division of Sidewalks and Inspection Management.
Since,  We still have left over ramp locations for Manhattan from a list we received last year for LM  locations. We will continue to use that list until it is completed.",Complex pedestrian ramps adjacent to historic and/or landmark facilities within the Borough of Manhattan,Manhattan,,Transportation,Construction 0-25%,Ped Ramps,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2016,,DDC
HWP14MTA,HWP14MTA,Y,Infrastructure,MANHATTAN & CITYWIDE,COMPLEX PED RAMPS (TRANSIT AUTHORITY) - MANHATTAN,"Design of complex pedestrian ramps adjacent to transit facilities within the borough of Manhattan. 
Locations of the pedestrian ramps will be provided by the NYCDOT Division of Sidewalks and Inspection Management.
Since,  We still have left over ramp locations for Manhattan from a list we received last year TA locations. We will continue to use that list until it is completed.",Complex pedestrian ramps adjacent to transit facilities within the borough of Manhattan.,Manhattan,,Transportation,Construction 0-25%,Ped Ramps,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2013,2016,,DDC
HWP14QC,HWP14QC,Y,Infrastructure,S. QUEENS,COMPLEX PED RAMPS - QUEENS,Installation of complex pedestrian ramps at designated locations in the Borough of Queens.,Installation of complex pedestrian ramps at various locations.,Queens,,Transportation,Construction 50-75%,Ped Ramps,Standard,In-House/Consultant,DDC Managed,PIMS,FALSE,,2014,2015,,DDC
HWP14QLM,HWP14QLM,Y,Infrastructure,BRONX & N. QUEENS,COMPLEX PED RAMPS (LANDMARK) - QUEENS,Installation of complex pedestrian ramps adjacent to historic and/or landmark facilities at designated locations in the Borough of Queens.,Installation of complex pedestrian ramps adjacent to historic and/or landmark facilities at designated locations in the Borough of Queens.,Queens,,Transportation,Substantial Completion,Ped Ramps,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2015,,DDC
HWP14QTA,HWP14QTA,Y,Infrastructure,BRONX & N. QUEENS,COMPLEX PED RAMPS (TRANSIT AUTHORITY) - QUEENS,Design of complex pedestrian ramps adjacent to transit facilities within the Borough of Queens.,Complex pedestrian ramps adjacent to transit facilities at various locations.,Queens,,Transportation,Substantial Completion,Ped Ramps,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2015,,DDC
HWP14RLM,HWP14RLM,Y,Infrastructure,STATEN ISLAND,COMPLEX PED RAMPS (LANDMARK) - SI,"Design of Complex Pedestrian Ramps adjacent to historic and/or landmark facilities within the Borough of Staten Island.
Locations of the Pedestrian Ramps will be provided by the Department of Transportation's (DOT) Division of Sidewalks and Inspection Management, Pedestrian Ramps Unit.",Design of Complex Pedestrian Ramps adjacent to historic and/or landmark facilities within the Borough of Staten Island.,Staten Is.,,Transportation,Substantial Completion,Ped Ramps,Standard,Requirements TO,None,PIMS,FALSE,,2014,2016,,DDC
HWP14RTA,HWP14RTA,Y,Infrastructure,STATEN ISLAND,CITYWIDE COMPLEX PED RAMPS (TA) - SI,"Design of Complex Pedestrian Ramps adjacent to Transit Authority's (TA) facilities within the Borough of Staten Island.
Locations of the Pedestrian Ramps will be provided by the Department of Transportation's (DOT) Division of Sidewalks and Inspection Management, Pedestrian Ramps Unit.",Design of Complex Pedestrian Ramps adjacent to Transit Authority's (TA) facilities within the Borough of Staten Island.,Staten Is.,,Transportation,Construction 0-25%,Ped Ramps,Standard,In-House,DDC Managed,PIMS,FALSE,,2013,2016,,DDC
HWP15KCL,HWP15KCL,Y,Infrastructure,BROOKLYN,"SIMPLE, COMPLEX & LANDMARK PED. RAMPS, BK","SIMPLE, COMPLEX & LANDMARK PED. RAMPS, BK","Simple, Complex & Landmark Pedestrian Ramps in Brooklyn.",Brooklyn,,Transportation,Construction 0-25%,Ped Ramps,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2016,,DDC
HWP15KTA,HWP15KTA,Y,Infrastructure,BROOKLYN,"COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BK","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BK","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BK",Brooklyn,,Transportation,Construction 0-25%,Ped Ramps,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2014,2016,,DDC
HWP15QLA,HWP15QLA,Y,Infrastructure,S. QUEENS,"COMPLEX PED. RAMPS - LANDMARKS, QNS","COMPLEX PED. RAMPS - LANDMARKS, QNS","COMPLEX PED. RAMPS - LANDMARKS, QNS",,,Transportation,,Ped Ramps,Critical,,,PIMS,FALSE,,,,,
HWP15QTA,HWP15QTA,Y,Infrastructure,BROOKLYN,"COMPLEX PED. RAMPS - TRANSIT AUTHORITY, QNS","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, QNS","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, QNS",Queens,,Transportation,Construction 0-25%,Ped Ramps,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2017,,DDC
HWP15RSC,HWP15RSC,Y,Infrastructure,STATEN ISLAND,"SIMPLE & COMPLEX PED. RAMPS, SI","SIMPLE & COMPLEX PED. RAMPS, SI","SIMPLE & COMPLEX PED. RAMPS, SI",Staten Is.,,Transportation,Construction 0-25%,Ped Ramps,Standard,Requirement Contract,DDC Managed Consultant,PIMS,FALSE,,2016,2017,,DDC
HWP15XMCL,HWP15XMCL,Y,Infrastructure,MANHATTAN & CITYWIDE,"SIMPLE, COMPLEX & LANDMARKS PED. RAMPS, MN","SIMPLE, COMPLEX & LANDMARKS PED. RAMPS, BX & MN","SIMPLE, COMPLEX & LANDMARKS PED. RAMPS, BX & MN",Manhattan,,Transportation,Construction 0-25%,Ped Ramps,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2017,,DDC
HWP15XMTA,HWP15XMTA,Y,Infrastructure,MANHATTAN & CITYWIDE,"COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BX & MN","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BX & MN","COMPLEX PED. RAMPS - TRANSIT AUTHORITY, BX & MN",Manhattan,,Transportation,Construction 0-25%,Ped Ramps,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,2015,2017,,DDC
